names,posx,posy,area,activations
FRP1 left,0,0,0,0
FRP1 right,0,0,0,0
MOp1 left,36.6335740072202,53.9368231046931,554,47
MOp1 right,91.8309608540925,53.4608540925267,562,66
MOs1 left,47.632870864461,41.4653148345784,937,258
MOs1 right,80.3658798283262,41.4474248927039,932,241
SSp-n1 left,12.1735537190083,68.5123966942149,121,63
SSp-n1 right,116.349206349206,68.5396825396825,126,46
SSp-bfd1 left,16.4254807692308,84.4254807692308,416,162
SSp-bfd1 right,111.419431279621,84.5047393364929,422,155
SSp-ll1 left,39.0377358490566,72.8867924528302,159,44
SSp-ll1 right,88.9876543209877,72.8333333333333,162,29
SSp-m1 left,17.0791366906475,55.1223021582734,139,68
SSp-m1 right,112.562189054726,54.7810945273632,201,69
SSp-ul1 left,28.4562211981567,65.6589861751152,217,44
SSp-ul1 right,99.2747747747748,65.7477477477478,222,76
SSp-tr1 left,38.748031496063,83.0944881889764,127,4
SSp-tr1 right,89.1065573770492,83.0901639344262,122,8
SSp-un1 left,23.3731343283582,71.2835820895522,67,5
SSp-un1 right,104.179104477612,71.9850746268657,67,10
SSs1 left,0,0,0,0
SSs1 right,121.311475409836,91.0819672131148,61,37
AUDd1 left,0,0,0,0
AUDd1 right,0,0,0,0
AUDp1 left,0,0,0,0
AUDp1 right,0,0,0,0
AUDpo1 left,0,0,0,0
AUDpo1 right,0,0,0,0
AUDv1 left,0,0,0,0
AUDv1 right,0,0,0,0
VISal1 left,11.8771929824561,105.649122807018,57,20
VISal1 right,115.839285714286,105.732142857143,56,50
VISam1 left,40.9305555555556,97.0694444444444,72,1
VISam1 right,87.0571428571429,97.1285714285714,70,1
VISl1 left,0,0,0,0
VISl1 right,0,0,0,0
VISp1 left,28.4897959183673,111.137755102041,392,234
VISp1 right,99.4298507462687,109.937313432836,335,275
VISpl1 left,0,0,0,0
VISpl1 right,0,0,0,0
VISpm1 left,40.8415841584158,107.712871287129,101,23
VISpm1 right,87.2352941176471,107.617647058824,102,4
VISli1 left,0,0,0,0
VISli1 right,0,0,0,0
VISpor1 left,0,0,0,0
VISpor1 right,0,0,0,0
ACAd1 left,0,0,0,0
ACAd1 right,0,0,0,0
PL1 left,0,0,0,0
PL1 right,0,0,0,0
RSPagl1 left,49.0939226519337,95.6022099447514,181,19
RSPagl1 right,78.9944751381215,96.1049723756906,181,27
RSPd1 left,55.1510791366906,96.2482014388489,278,63
RSPd1 right,73.0658436213992,95.8271604938272,243,90
RSPv1 left,0,0,0,0
RSPv1 right,0,0,0,0
VISa1 left,35.7985611510791,91.3309352517986,139,1
VISa1 right,92.2708333333333,91.3611111111111,144,4
VISrl1 left,20.5348837209302,99.0697674418605,86,66
VISrl1 right,107.174418604651,99,86,21
TEa1 left,0,0,0,0
TEa1 right,0,0,0,0
MOB left,45.4495412844037,17.2385321100917,109,30
MOB right,82.2083333333333,17.0333333333333,120,142
